State,Facility ID,County Name,FIPS
AL,10001,HOUSTON,1069
AL,10005,MARSHALL,1095
AL,10006,LAUDERDALE,1077
AL,10007,COVINGTON,1039
AL,10008,CRENSHAW,1041
AL,10011,JEFFERSON,1073
AL,10012,DE KALB,1049
AL,10016,SHELBY,1117
AL,10018,JEFFERSON,1073
AL,10019,COLBERT,1033
AL,10021,DALE,1045
AL,10022,CHEROKEE,1019
AL,10023,MONTGOMERY,1101
AL,10024,MONTGOMERY,1101
AL,10029,LEE,1081
AL,10033,JEFFERSON,1073
AL,10034,ELMORE,1051
AL,10035,CULLMAN,1043
AL,10036,COVINGTON,1039
AL,10038,CALHOUN,1015
AL,10039,MADISON,1089
AL,10040,ETOWAH,1055
AL,10044,MARION,1093
AL,10045,FAYETTE,1057
AL,10046,ETOWAH,1055
AL,10049,COFFEE,1031
AL,10051,GREENE,1063
AL,10052,TALLAPOOSA,1123
AL,10055,HOUSTON,1069
AL,10056,JEFFERSON,1073
AL,10058,BIBB,1007
AL,10059,LAWRENCE,1079
AL,10061,JACKSON,1071
AL,10062,GENEVA,1061
AL,10065,TALLAPOOSA,1123
AL,10069,BARBOUR,1005
AL,10073,CLAY,1027
AL,10078,CALHOUN,1015
AL,10079,LIMESTONE,1083
AL,10083,BALDWIN,1003
AL,10085,MORGAN,1103
AL,10086,FAYETTE,1057
AL,10087,MOBILE,1097
AL,10089,WALKER,1127
AL,10090,MOBILE,1097
AL,10091,CLARKE,1025
AL,10092,TUSCALOOSA,1125
AL,10095,HALE,1065
AL,10097,ELMORE,1051
AL,10099,ESCAMBIA,1053
AL,10100,BALDWIN,1003
AL,10101,TALLADEGA,1121
AL,10102,WILCOX,1131
AL,10103,JEFFERSON,1073
AL,10104,JEFFERSON,1073
AL,10108,AUTAUGA,1001
AL,10110,BULLOCK,1011
AL,10112,MARENGO,1091
AL,10113,MOBILE,1097
AL,10114,JEFFERSON,1073
AL,10118,DALLAS,1047
AL,10120,MONROE,1099
AL,10125,WINSTON,1133
AL,10126,PIKE,1109
AL,10128,CLARKE,1025
AL,10129,BALDWIN,1003
AL,10130,ST. CLAIR,1115
AL,10131,MADISON,1089
AL,10138,SUMTER,1119
AL,10139,JEFFERSON,1073
AL,10144,MOBILE,1097
AL,10148,CONECUH,1035
AL,10149,MONTGOMERY,1101
AL,10150,BUTLER,1013
AL,10157,COLBERT,1033
AL,10158,FRANKLIN,1059
AL,10164,TALLADEGA,1121
AL,10168,RUSSELL,1113
AL,10169,ESCAMBIA,1053
AL,10173,CHILTON,1021
AL,10174,CLARKE,1025
AL,10175,CHAMBERS,1017
AL,11300,WASHINGTON,1129
AL,11302,FRANKLIN,1059
AL,11304,CHOCTAW,1023
AL,11305,BLOUNT,1009
AL,11306,RANDOLPH,1111
AL,13300,JEFFERSON,1073
AL,13301,MOBILE,1097
AL,14000,JEFFERSON,1073
AL,14006,ETOWAH,1055
AL,14007,TUSCALOOSA,1125
AL,14012,TUSCALOOSA,1125
AL,14014,MOBILE,1097
AL,14015,CRENSHAW,1041
AL,14016,CULLMAN,1043
AL,14017,BALDWIN,1003
AL,14018,MADISON,1089
AK,20001,ANCHORAGE,2020
AK,20006,MATANUSKA-SUSITNA,2170
AK,20008,JUNEAU,2110
AK,20012,FAIRBANKS NORTH STAR,2090
AK,20017,ANCHORAGE,2020
AK,20018,BETHEL,2050
AK,20024,KENAI PENINSULA,2122
AK,20026,ANCHORAGE,2020
AK,,ANCHORAGE,2020
AK,,FAIRBANKS NORTH STAR,2090
AK,21301,VALDEZ-CORDOVA,2261
AK,21302,KENAI PENINSULA,2122
AK,21304,PETERSBURG BOROUGH,2280
AK,21305,WRANGELL CITY AND BOROUGH,2280
AK,21306,KODIAK ISLAND BOROUGH,2150
AK,21307,VALDEZ-CORDOVA,2261
AK,21308,NOME,2180
AK,21309,DILLINGHAM,2070
AK,21310,NORTHWEST ARTIC BOROUGH,2188
AK,21311,KETCHIKAN GATEWAY,2130
AK,21312,NORTH SLOPE BOROUH,2185
AK,21313,KENAI PENINSULA,2122
AK,21314,SITKA BOROUGH,2220
AK,24001,ANCHORAGE,2020
AK,24002,ANCHORAGE,2020
AZ,30002,MARICOPA,4013
AZ,30006,PIMA,4019
AZ,30007,YAVAPAI,4025
AZ,30010,PIMA,4019
AZ,30011,PIMA,4019
AZ,30012,YAVAPAI,4025
AZ,30013,YUMA,4027
AZ,30014,MARICOPA,4013
AZ,30016,PINAL,4021
AZ,30022,MARICOPA,4013
AZ,30023,COCONINO,4005
AZ,30024,MARICOPA,4013
AZ,30030,MARICOPA,4013
AZ,30036,MARICOPA,4013
AZ,30037,MARICOPA,4013
AZ,30038,MARICOPA,4013
AZ,30043,COCHISE,4003
AZ,30055,MOHAVE,4015
AZ,30061,MARICOPA,4013
AZ,30062,NAVAJO,4017
AZ,30064,PIMA,4019
AZ,30065,MARICOPA,4013
AZ,30069,MOHAVE,4015
AZ,30071,APACHE,4001
AZ,30073,COCONINO,4005
AZ,30074,PIMA,4019
AZ,30077,GILA,4007
AZ,30078,MARICOPA,4013
AZ,30083,MARICOPA,4013
AZ,30084,APACHE,4001
AZ,30085,PIMA,4019
AZ,30087,MARICOPA,4013
AZ,30088,MARICOPA,4013
AZ,30089,MARICOPA,4013
AZ,30092,MARICOPA,4013
AZ,30093,MARICOPA,4013
AZ,30094,MARICOPA,4013
AZ,30101,MOHAVE,4015
AZ,30103,MARICOPA,4013
AZ,30105,MARICOPA,4013
AZ,30107,MARICOPA,4013
AZ,30108,MARICOPA,4013
AZ,30110,MARICOPA,4013
AZ,30111,PIMA,4019
AZ,30112,MARICOPA,4013
AZ,30113,NAVAJO,4017
AZ,30114,PIMA,4019
AZ,30115,MARICOPA,4013
AZ,30117,MOHAVE,4015
AZ,30119,MARICOPA,4013
AZ,30121,MARICOPA,4013
AZ,30122,MARICOPA,4013
AZ,30123,MARICOPA,4013
AZ,30130,PINAL,4021
AZ,30131,MARICOPA,4013
AZ,30134,PINAL,4021
AZ,30136,MARICOPA,4013
AZ,30137,PIMA,4019
AZ,30138,MARICOPA,4013
AZ,30139,MARICOPA,4013
AZ,30146,MARICOPA,4013
AZ,30147,MARICOPA,4013
AZ,30148,PIMA,4019
AZ,31300,MARICOPA,4013
AZ,31301,COCHISE,4003
AZ,31302,COCHISE,4003
AZ,31304,COCONINO,4005
AZ,31305,NAVAJO,4017
AZ,31307,LAPAZ,4012
AZ,31308,PINAL,4021
AZ,31309,APACHE,4001
AZ,31311,NAVAJO,4017
AZ,31312,COCHISE,4003
AZ,31313,SANTA CRUZ,4023
AZ,31314,GILA,4007
AZ,31315,APACHE,4001
AZ,31317,LAPAZ,4012
AZ,31318,GILA,4007
AZ,33302,MARICOPA,4013
AZ,34004,MARICOPA,4013
AZ,34013,MARICOPA,4013
AZ,34020,MARICOPA,4013
AZ,34021,MARICOPA,4013
AZ,34022,PIMA,4019
AZ,34023,COCONINO,4005
AZ,34024,MARICOPA,4013
AZ,34025,YAVAPAI,4025
AZ,34026,MARICOPA,4013
AZ,34027,NAVAJO,4017
AZ,34028,MARICOPA,4013
AZ,34029,MARICOPA,4013
AZ,34030,PIMA,4019
AZ,34031,MARICOPA,4013
AZ,34032,MARICOPA,4013
AZ,34033,PIMA,4019
AZ,34034,MARICOPA,4013
AZ,34035,MARICOPA,4013
AR,40001,BENTON,5007
AR,40002,JOHNSON,5071
AR,40004,WASHINGTON,5143
AR,40007,PULASKI,5119
AR,40010,BENTON,5007
AR,40011,YELL,5149
AR,40014,WHITE,5145
AR,40015,POLK,5113
AR,40016,PULASKI,5119
AR,40017,BOONE,5009
AR,40018,CRAWFORD,5033
AR,40019,ST. FRANCIS,5123
AR,40020,CRAIGHEAD,5031
AR,40022,WASHINGTON,5143
AR,40026,GARLAND,5051
AR,40027,BAXTER,5005
AR,40029,FAULKNER,5045
AR,40036,PULASKI,5119
AR,40039,GREENE,5055
AR,40041,POPE,5115
AR,40047,RANDOLPH,5121
AR,40050,OUACHITA,5103
AR,40051,DREW,5043
AR,40055,SEBASTIAN,5131
AR,40062,SEBASTIAN,5131
AR,40067,COLUMBIA,5027
AR,40069,MISSISSIPPI,5093
AR,40071,JEFFERSON,5069
AR,40072,ARKANSAS,5001
AR,40074,PULASKI,5119
AR,40076,HOT SPRING,5059
AR,40078,GARLAND,5051
AR,40084,SALINE,5125
AR,40085,PHILLIPS,5107
AR,40088,UNION,5139
AR,40114,PULASKI,5119
AR,40118,CRAIGHEAD,5031
AR,40119,INDEPENDENCE,5063
AR,40132,GARLAND,5051
AR,40134,PULASKI,5119
AR,40137,PULASKI,5119
AR,40147,PULASKI,5119
AR,40152,WASHINGTON,5143
AR,40153,HEMPSTEAD,5057
AR,40154,FAULKNER,5045
AR,40156,CRITTENDEN,5035
AR,40161,SALINE,5125
AR,41300,LOGAN,5083
AR,41302,YELL,5149
AR,41303,FRANKLIN,5047
AR,41304,CARROLL,5015
AR,41305,SCOTT,5127
AR,41306,BAXTER,5005
AR,41307,CROSS,5037
