Player	Team	Gms	PAT	FG	0-19	20-29	30-39	40-49	50+	Lg	Pts	PATN	PATD	PATF	FGN	FGD	FGF	0-19N	0-19D	0-19F	20-29N	20-29D	20-29F	30-39N	30-39D	30-39F	40-49N	40-49D	40-49F	50+N	50+D	50+F
Daniel Carlson	LV	16	45/47	33/35	0/0	18/18	8/8	3/5	4/4	54	144	45	47	0.957446809	33	35	0.942857143	0	0	0	18	18	1	8	8	1	3	5	0.6	4	4	1
Younghoe Koo	ATL	15	33/36	37/39	0/0	10/10	11/12	8/9	8/8	54	144	33	36	0.916666667	37	39	0.948717949	0	0	0	10	10	1	11	12	0.916666667	8	9	0.888888889	8	8	1
Jason Sanders	MIA	16	36/36	36/39	1/1	8/8	7/7	12/14	8/9	56	144	36	36	1	36	39	0.923076923	1	1	1	8	8	1	7	7	1	12	14	0.857142857	8	9	0.888888889
Tyler Bass	BUF	16	57/59	28/34	1/1	9/9	6/9	8/9	4/6	58	141	57	59	0.966101695	28	34	0.823529412	1	1	1	9	9	1	6	9	0.666666667	8	9	0.888888889	4	6	0.666666667
Rodrigo Blankenship	IND	16	43/45	32/37	0/0	10/10	12/13	9/11	1/3	53	139	43	45	0.955555556	32	37	0.864864865	0	0	0	10	10	1	12	13	0.923076923	9	11	0.818181818	1	3	0.333333333
Ryan Succop	TB	16	52/57	28/31	1/1	10/10	9/9	7/9	1/2	50	136	52	57	0.912280702	28	31	0.903225806	1	1	1	10	10	1	9	9	1	7	9	0.777777778	1	2	0.5
Greg Zuerlein	DAL	16	33/36	34/41	1/1	5/5	13/13	12/13	3/9	59	135	33	36	0.916666667	34	41	0.829268293	1	1	1	5	5	1	13	13	1	12	13	0.923076923	3	9	0.333333333
Justin Tucker	BAL	16	52/53	26/29	0/0	8/8	6/7	9/9	3/5	55	130	52	53	0.981132075	26	29	0.896551724	0	0	0	8	8	1	6	7	0.857142857	9	9	1	3	5	0.6
Wil Lutz	NO	16	57/58	23/28	0/0	5/6	10/10	7/9	1/3	53	126	57	58	0.982758621	23	28	0.821428571	0	0	0	5	6	0.833333333	10	10	1	7	9	0.777777778	1	3	0.333333333
Cairo Santos	CHI	16	36/37	30/32	0/0	9/9	10/10	9/10	2/3	55	126	36	37	0.972972973	30	32	0.9375	0	0	0	9	9	1	10	10	1	9	10	0.9	2	3	0.666666667
Harrison Butker	KC	16	48/54	25/27	2/2	7/7	9/9	3/5	4/4	58	123	48	54	0.888888889	25	27	0.925925926	2	2	1	7	7	1	9	9	1	3	5	0.6	4	4	1
Jason Myers	SEA	16	49/53	24/24	0/0	2/2	7/7	13/13	2/2	61	121	49	53	0.924528302	24	24	1	0	0	0	2	2	1	7	7	1	13	13	1	2	2	1
Joey Slye	CAR	16	33/36	29/36	0/0	11/12	10/10	7/8	1/6	56	120	33	36	0.916666667	29	36	0.805555556	0	0	0	11	12	0.916666667	10	10	1	7	8	0.875	1	6	0.166666667
Ka'imi Fairbairn	HOU	16	37/40	27/31	0/0	8/8	9/9	6/8	4/6	54	118	37	40	0.925	27	31	0.870967742	0	0	0	8	8	1	9	9	1	6	8	0.75	4	6	0.666666667
Graham Gano	NYG	16	21/23	31/32	0/0	4/4	13/13	9/9	5/6	55	114	21	23	0.913043478	31	32	0.96875	0	0	0	4	4	1	13	13	1	9	9	1	5	6	0.833333333
Dustin Hopkins	WAS	16	30/32	27/34	0/0	5/5	7/8	13/17	2/4	51	111	30	32	0.9375	27	34	0.794117647	0	0	0	5	5	1	7	8	0.875	13	17	0.764705882	2	4	0.5
Michael Badgley	LAC	16	36/39	24/33	0/0	8/8	6/6	8/13	2/6	53	108	36	39	0.923076923	24	33	0.727272727	0	0	0	8	8	1	6	6	1	8	13	0.615384615	2	6	0.333333333
Nick Folk	NE	16	30/33	26/28	0/0	6/6	7/7	11/12	2/3	51	108	30	33	0.909090909	26	28	0.928571429	0	0	0	6	6	1	7	7	1	11	12	0.916666667	2	3	0.666666667
Brandon McManus	DEN	15	24/27	28/34	0/0	6/6	4/5	8/8	10/15	58	108	24	27	0.888888889	28	34	0.823529412	0	0	0	6	6	1	4	5	0.8	8	8	1	10	15	0.666666667
Mason Crosby	GB	16	59/63	16/16	1/1	1/1	5/5	5/5	4/4	57	107	59	63	0.936507937	16	16	1	1	1	1	1	1	1	5	5	1	5	5	1	4	4	1
Matt Prater	DET	16	38/41	21/28	0/0	4/4	7/7	4/7	6/10	59	101	38	41	0.926829268	21	28	0.75	0	0	0	4	4	1	7	7	1	4	7	0.571428571	6	10	0.6
Stephen Gostkowski	TEN	15	46/48	18/26	0/0	2/3	4/5	5/10	7/8	55	100	46	48	0.958333333	18	26	0.692307692	0	0	0	2	3	0.666666667	4	5	0.8	5	10	0.5	7	8	0.875
Cody Parkey	CLE	15	43/47	19/22	0/0	5/5	4/6	10/11	0/0	46	100	43	47	0.914893617	19	22	0.863636364	0	0	0	5	5	1	4	6	0.666666667	10	11	0.909090909	0	0	0
Robbie Gould	SF	15	36/38	19/23	0/0	3/3	5/6	9/10	2/4	52	93	36	38	0.947368421	19	23	0.826086957	0	0	0	3	3	1	5	6	0.833333333	9	10	0.9	2	4	0.5
Chris Boswell	PIT	13	34/38	19/20	0/0	5/5	6/6	7/8	1/1	59	91	34	38	0.894736842	19	20	0.95	0	0	0	5	5	1	6	6	1	7	8	0.875	1	1	1
Randy Bullock	CIN	12	24/25	21/26	0/0	3/3	8/10	7/8	3/5	55	87	24	25	0.96	21	26	0.807692308	0	0	0	3	3	1	8	10	0.8	7	8	0.875	3	5	0.6
Zane Gonzalez	ARI	12	38/39	16/22	0/0	4/4	2/2	8/13	2/3	56	86	38	39	0.974358974	16	22	0.727272727	0	0	0	4	4	1	2	2	1	8	13	0.615384615	2	3	0.666666667
Dan Bailey	MIN	16	37/43	15/22	0/0	6/6	3/4	4/7	2/5	53	82	37	43	0.860465116	15	22	0.681818182	0	0	0	6	6	1	3	4	0.75	4	7	0.571428571	2	5	0.4
Jake Elliott	PHI	16	24/26	14/19	0/0	1/3	6/6	5/5	2/5	54	66	24	26	0.923076923	14	19	0.736842105	0	0	0	1	3	0.333333333	6	6	1	5	5	1	2	5	0.4
Matt Gay	LA	7	16/16	14/16	0/0	2/2	5/6	6/7	1/1	51	58	16	16	1	14	16	0.875	0	0	0	2	2	1	5	6	0.833333333	6	7	0.857142857	1	1	1
Samuel Sloman	LA/TEN	8	23/26	10/13	0/0	2/3	6/6	2/3	0/1	47	53	23	26	0.884615385	10	13	0.769230769	0	0	0	2	3	0.666666667	6	6	1	2	3	0.666666667	0	1	0
Sam Ficken	NYJ	9	12/15	13/15	0/0	5/5	6/6	1/1	1/3	54	51	12	15	0.8	13	15	0.866666667	0	0	0	5	5	1	6	6	1	1	1	1	1	3	0.333333333
Aldrick Rosas	JAX	6	9/9	8/11	0/0	3/3	2/2	0/1	3/5	54	33	9	9	1	8	11	0.727272727	0	0	0	3	3	1	2	2	1	0	1	0	3	5	0.6
Sergio Castillo	NYJ	6	6/7	8/13	0/0	1/2	3/4	2/5	2/2	55	30	6	7	0.857142857	8	13	0.615384615	0	0	0	1	2	0.5	3	4	0.75	2	5	0.4	2	2	1
Mike Nugent	ARI	4	7/7	7/8	0/0	1/1	4/5	2/2	0/0	43	28	7	7	1	7	8	0.875	0	0	0	1	1	1	4	5	0.8	2	2	1	0	0	0
Austin Seibert	CLE/CIN	5	8/9	6/9	0/0	0/0	5/5	1/3	0/1	48	26	8	9	0.888888889	6	9	0.666666667	0	0	0	0	0	0	5	5	1	1	3	0.333333333	0	1	0
Josh Lambo	JAX	4	8/10	5/5	0/0	0/0	2/2	1/1	2/2	59	23	8	10	0.8	5	5	1	0	0	0	0	0	0	2	2	1	1	1	1	2	2	1
Matthew Wright	PIT	3	7/7	4/4	0/0	1/1	1/1	2/2	0/0	46	19	7	7	1	4	4	1	0	0	0	1	1	1	1	1	1	2	2	1	0	0	0
Chase McLaughlin	JAX/NYJ	4	5/6	4/5	0/0	1/1	1/1	1/1	1/2	52	17	5	6	0.833333333	4	5	0.8	0	0	0	1	1	1	1	1	1	1	1	1	1	2	0.5
Tristan Vizcaino	SF	1	2/2	3/3	0/0	0/0	2/2	1/1	0/0	47	11	2	2	1	3	3	1	0	0	0	0	0	0	2	2	1	1	1	1	0	0	0
Kai Forbath	LA	2	4/5	2/3	0/0	2/2	0/0	0/1	0/0	23	10	4	5	0.8	2	3	0.666666667	0	0	0	2	2	1	0	0	0	0	1	0	0	0	0
Jonathan Brown	JAX	1	1/1	1/2	0/0	0/0	1/2	0/0	0/0	31	4	1	1	1	1	2	0.5	0	0	0	0	0	0	1	2	0.5	0	0	0	0	0	0
Elliott Fry	ATL	1	1/2	1/1	0/0	1/1	0/0	0/0	0/0	23	4	1	2	0.5	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Stephen Hauschka	JAX	1	2/2	0/2	0/0	0/1	0/0	0/1	0/0	0	2	2	2	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Taylor Russolino	DEN	1	1/3	0/1	0/0	0/0	0/0	0/0	0/1	0	1	1	3	0.333333333	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Brandon Wright	JAX	1	1/2	0/0	0/0	0/0	0/0	0/0	0/0	0	1	1	2	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jamie Gillan	CLE	16	0/0	0/1	0/0	0/0	0/0	0/0	0/1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
