CraterName,Location,Continent,Latitude,Longitude,Diameter_km,Age_MillionYears,Exposed,Drilled,TargetRock
Ames,"Oklahoma, U.S.A.",North America,N 36° 15',W 98° 12',16,470,N,Y,M
Avak,"Alaska, U.S.A.",North America,N 71° 15',W 156° 38',12,46,N,Y,S
Barringer,"Arizona, U.S.A.",North America,N 35° 2',W 111° 1',1.18,0.049,Y,Y,S
Beaverhead,"Montana, U.S.A.",North America,N 44° 36',W 113° 0',60,600,Y,N,M
Brent,"Ontario, Canada",North America,N 46° 5',W 78° 29',3.8,452,N,Y,C
Calvin,"Michigan, USA",North America,N 41° 50',W 85° 57',8.5,450,N,Y,S
Carswell,"Saskatchewan, Canada",North America,N 58° 27',W 109° 30',39,115,Y,Y,M
Charlevoix,"Quebec, Canada",North America,N 47° 32',W 70° 18',54,342,Y,Y,M
Chesapeake Bay,"Virginia, U.S.A.",North America,N 37° 17',W 76° 1',40,35.5,N,Y,M
Chicxulub,"Yucatan, Mexico",North America,N 21° 20',W 89° 30',150,64.98,N,Y,M
Clearwater East,"Quebec, Canada",North America,N 56° 5',W 74° 7',26,460,Y,Y,M
Clearwater West,"Quebec, Canada",North America,N 56° 13',W 74° 30',36,290,Y,Y,M
Cloud Creek,"Wyoming, USA",North America,N 43° 7',W 106° 45',7,190,N,Y,S
Couture,"Quebec, Canada",North America,N 60° 8',W 75° 20',8,430,Y,N,C
Crooked Creek,"Missouri, U.S.A.",North America,N 37° 50',W 91° 23',7,320,Y,N,S
Decaturville,"Missouri, U.S.A.",North America,N 37° 54',W 92° 43',6,300,Y,Y,M
Deep Bay,"Saskatchewan, Canada",North America,N 56° 24',W 102° 59',13,99,N,Y,C
Des Plaines,"Illinois, U.S.A.",North America,N 42° 3',W 87° 52',8,280,N,Y,S
Eagle Butte,"Alberta, Canada",North America,N 49° 42',W 110° 30',10,65,N,Y,S
Elbow,"Saskatchewan, Canada",North America,N 50° 59',W 106° 43',8,395,N,Y,S
Flynn Creek,"Tennessee, U.S.A.",North America,N 36° 17',W 85° 40',3.8,360,Y,Y,S
Glasford,"Illinois, U.S.A.",North America,N 40° 36',W 89° 47',4,430,N,Y,S
Glover Bluff,"Wisconsin, U.S.A.",North America,N 43° 58',W 89° 32',8,500,Y,Y,S
Gow,"Saskatchewan, Canada",North America,N 56° 27',W 104° 29',5,250,Y,N,C
Haughton,"Nunavut, Canada",North America,N 75° 22',W 89° 41',23,39,Y,N,S
