Gender-Age,pois,cookgas,toxgas,hang,drown,gun,knife,jump,other
m1015,4,0,0,247,1,17,1,6,9
m1520,348,7,67,578,22,179,11,74,175
m2025,808,32,229,699,44,316,35,109,289
m2530,789,26,243,648,52,268,38,109,226
m3035,916,17,257,825,74,291,52,123,281
m3540,1118,27,313,1278,89,299,53,78,198
m4045,926,13,250,1273,89,299,53,78,198
m4550,855,9,203,1381,71,347,68,103,190
m5055,684,14,136,1282,87,229,62,63,146
m5560,502,6,77,972,49,151,46,66,77
m6065,516,5,74,1249,83,162,62,92,122
m6570,513,8,31,1360,75,164,56,115,95
m7075,425,5,21,1268,90,121,44,119,82
m7580,266,4,9,866,63,78,30,79,34
m8085,159,2,2,479,39,18,18,46,19
m8590,70,1,0,259,16,10,9,18,10
m90p,18,0,1,76,4,2,4,6,2
w1015,28,0,3,20,0,1,0,10,6
w1520,353,2,11,81,6,15,2,43,47
w2025,540,4,20,111,24,9,9,78,67
w2530,454,6,27,125,33,26,7,86,75
w3035,530,2,29,178,42,14,20,92,78
w3540,688,5,44,272,64,24,14,98,110
w4045,566,4,24,343,76,18,22,103,86
w4550,716,6,24,447,94,13,21,95,88
w5055,942,7,26,691,184,21,37,129,131
w5560,723,3,14,527,163,14,30,92,92
w6065,820,8,8,702,245,11,35,140,114
w6570,740,8,4,785,271,4,38,156,90
w7075,624,6,4,610,244,1,27,129,46
w7580,495,8,1,420,161,2,29,129,35
w8085,292,3,2,223,78,0,10,84,23
w8590,113,4,0,83,14,0,6,34,2
w90p,24,1,0,19,4,0,2,7,0
