SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,905 W Arrow,Claremont,CA,91711,579998,2,3.0,683 - Claremont,1316,33308,1992,5,441,416,Active,,,https://www.redfin.com/CA/Claremont/905-W-Arrow-Hwy-91711/home/7887588,CRMLS,BB22097508,N,Y,34.090789,-117.730377
MLS Listing,,Condo/Co-op,3763 Live Oak Dr,Pomona,CA,91767,580000,2,2.5,687 - Pomona,1370,2499,1980,17,423,285,Contingent,,,https://www.redfin.com/CA/Pomona/3763-Live-Oak-Dr-91767/home/7883102,CRMLS,EV22086203,N,Y,34.1122712,-117.7499589
MLS Listing,,Single Family Residential,1002 Idaho Ct,Claremont,CA,91711,2498000,4,4.0,683 - Claremont,4447,30615,1982,1,562,,Active,,,https://www.redfin.com/CA/Claremont/1002-Idaho-Ct-91711/home/8046759,CRMLS,CV22062667,N,Y,34.125013,-117.6973364
MLS Listing,,Multi-Family (2-4 Unit),180 W San Jose Ave,Claremont,CA,91711,1300000,6,6.0,683 - Claremont,3360,12362,1965,1,387,,Active,,,https://www.redfin.com/CA/Claremont/180-W-San-Jose-Ave-91711/home/7888351,CRMLS,CV22102717,N,Y,34.0829981,-117.7169026
MLS Listing,,Single Family Residential,901 W Baseline Rd,Claremont,CA,91711,1185000,4,2.5,683 - Claremont,3580,11581,1937,2,331,,Active,,,https://www.redfin.com/CA/Claremont/901-E-Baseline-Rd-91711/home/8044573,CRMLS,CV22101874,N,Y,34.12192,-117.733077
MLS Listing,,Condo/Co-op,922 E Baseline Rd,Claremont,CA,91711,640000,3,2.5,683 - Claremont,1384,28681,2015,2,462,234,Active,,,https://www.redfin.com/CA/Claremont/922-E-Baseline-Rd-91711/home/110093535,CRMLS,CV22101962,N,Y,34.1214054,-117.6995761
MLS Listing,,Single Family Residential,1224 Briarcroft Rd,Claremont,CA,91711,998000,3,2.0,683 - Claremont,1819,10238,1956,3,549,,Active,,,https://www.redfin.com/CA/Claremont/1224-Briarcroft-Rd-91711/home/7884266,CRMLS,CV22076413,N,Y,34.110934,-117.740619
MLS Listing,,Single Family Residential,2428 Michigan Dr,Claremont,CA,91711,1050000,4,2.5,683 - Claremont,2283,9835,1979,3,460,,Active,,,https://www.redfin.com/CA/Claremont/2428-Michigan-Dr-91711/home/8046673,CRMLS,PW22099875,N,Y,34.1268743,-117.7101899
MLS Listing,,Single Family Residential,1045 Scripps Dr,Claremont,CA,91711,1050000,3,2.0,683 - Claremont,2408,15399,1960,4,436,,Active,,,https://www.redfin.com/CA/Claremont/1045-Scripps-Dr-91711/home/7883391,CRMLS,CV22100718,N,Y,34.1170441,-117.7353443
MLS Listing,,Single Family Residential,450 Elder Dr,Claremont,CA,91711,529000,3,1.0,Claremont,1164,11096,1947,4,454,,Active,May-17-2022 10:30 AM,May-17-2022 12:00 PM,https://www.redfin.com/CA/Claremont/450-Elder-Dr-91711/home/7887953,TheMLS,22-155779,N,Y,34.0931049,-117.7073031
MLS Listing,,Single Family Residential,2543 Bonnie Brae Ave,Claremont,CA,91711,1055888,4,2.0,683 - Claremont,2282,9859,1978,4,463,,Active,,,https://www.redfin.com/CA/Claremont/2543-Bonnie-Brae-Ave-91711/home/8046189,CRMLS,CV22098151,N,Y,34.1295213,-117.7118394
MLS Listing,,Single Family Residential,622 S Mountain Ave,Claremont,CA,91711,780000,3,2.0,683 - Claremont,1670,8187,1957,5,467,,Active,May-21-2022 01:00 PM,May-21-2022 03:00 PM,https://www.redfin.com/CA/Claremont/622-Mountain-Ave-91711/home/7889152,CRMLS,OC22098889,N,Y,34.0844975,-117.7277846
MLS Listing,,Single Family Residential,2413 Logan St,Pomona,CA,91767,699888,3,2.0,687 - Pomona,1256,5846,1959,5,557,,Active,,,https://www.redfin.com/CA/Pomona/2413-Logan-St-91767/home/7889397,CRMLS,OC22098467,N,Y,34.087238,-117.72911
MLS Listing,,Single Family Residential,850 S College Ave,Claremont,CA,91711,665000,3,1.0,683 - Claremont,1148,7716,1952,6,579,,Active,,,https://www.redfin.com/CA/Claremont/850-S-College-Ave-91711/home/7892684,CRMLS,CV22097327,N,Y,34.0801293,-117.7145887
MLS Listing,,Single Family Residential,1012 Butte St,Claremont,CA,91711,850000,3,2.0,683 - Claremont,1529,8962,1953,7,556,,Active,,,https://www.redfin.com/CA/Claremont/1012-Butte-St-91711/home/7887230,CRMLS,CV22096796,N,Y,34.1032981,-117.7345375
MLS Listing,,Townhouse,1062 Newberry Ln,Claremont,CA,91711,605900,2,3.0,683 - Claremont,1190,35277,2018,7,509,256,Active,,,https://www.redfin.com/CA/Claremont/1062-Newberry-Ln-91711/home/160455150,CRMLS,P1-9433,N,Y,34.1211743,-117.7341941
MLS Listing,,Single Family Residential,1954 Wheaton Ave,Claremont,CA,91711,949000,4,2.0,683 - Claremont,1636,10087,1968,3,580,,Active,,,https://www.redfin.com/CA/Claremont/1954-Wheaton-Ave-91711/home/7883362,CRMLS,CV22096409,N,Y,34.1192784,-117.7356421
MLS Listing,,Single Family Residential,2418 Wood Ct,Claremont,CA,91711,799000,3,2.0,683 - Claremont,1549,10628,1978,7,516,,Active,,,https://www.redfin.com/CA/Claremont/2418-Wood-Ct-91711/home/8046655,CRMLS,AR22079194,N,Y,34.1264446,-117.7093193
MLS Listing,,Townhouse,615 S Indian Hill Blvd Unit C,Claremont,CA,91711,465000,2,2.0,683 - Claremont,1088,2246,1962,10,427,441,Contingent,,,https://www.redfin.com/CA/Claremont/615-S-Indian-Hill-Blvd-91711/unit-C/home/7889291,CRISNet,SR22094973,N,Y,34.084606,-117.719651
MLS Listing,,Single Family Residential,4186 La Junta Dr,Claremont,CA,91711,995000,4,2.0,683 - Claremont,2045,9860,1956,4,487,,Active,,,https://www.redfin.com/CA/Claremont/4186-La-Junta-Dr-91711/home/7882897,CRMLS,CV22093202,N,Y,34.1184567,-117.7453319
MLS Listing,,Condo/Co-op,623 W 1st St,Claremont,CA,91711,749900,3,3.0,683 - Claremont,1470,49352,2006,2,510,350,Active,,,https://www.redfin.com/CA/Claremont/623-W-1st-St-91711/home/12290007,CRMLS,SW22093421,N,Y,34.0948463,-117.7232653
MLS Listing,,Single Family Residential,170 Armstrong Dr,Claremont,CA,91711,1225000,5,3.0,683 - Claremont,3368,13485,1978,11,364,,Contingent,,,https://www.redfin.com/CA/Claremont/170-Armstrong-Dr-91711/home/8045498,CRMLS,CV22092706,N,Y,34.1326943,-117.7161008
MLS Listing,,Single Family Residential,2316 N San Benito Ct,Claremont,CA,91711,1298000,4,3.0,683 - Claremont,2267,10382,1975,11,573,,Active,,,https://www.redfin.com/CA/Claremont/2316-San-Benito-Ct-91711/home/8045404,CRMLS,AR22085605,N,Y,34.1256829,-117.7260894
MLS Listing,,Single Family Residential,3706 Williams Ave,Claremont,CA,91711,989000,3,3.0,683 - Claremont,2503,20812,1955,11,395,,Contingent,,,https://www.redfin.com/CA/Claremont/3706-Williams-Ave-91711/home/7883039,CRMLS,CV22090648,N,Y,34.1109412,-117.7503941
MLS Listing,,Single Family Residential,3951 Northampton Ave,Claremont,CA,91711,1480000,6,4.5,683 - Claremont,3574,13178,1979,12,414,,Active,,,https://www.redfin.com/CA/Claremont/3951-Northampton-Ave-91711/home/7882963,CRMLS,WS22093216,N,Y,34.1138199,-117.7482181
PAST SALE,July-20-2004,Single Family Residential,354 S College Ave,Claremont,CA,91711,789000,2,2.0,683 - Claremont,1089,6124,1951,9,725,,Pending,,,https://www.redfin.com/CA/Claremont/354-S-College-Ave-91711/home/7888613,CRMLS,CV22093248,N,Y,34.0892302,-117.7146345
MLS Listing,,Single Family Residential,657 W Occidental Dr,Claremont,CA,91711,1225000,5,2.0,683 - Claremont,2931,14535,1964,12,418,,Active,,,https://www.redfin.com/CA/Claremont/657-Occidental-Dr-91711/home/7884427,CRMLS,CV22091912,N,Y,34.1195856,-117.7258374
MLS Listing,,Single Family Residential,2926 N Mountain Ave,Claremont,CA,91711,1330000,4,4.0,683 - Claremont,3032,14176,1950,10,439,,Contingent,,,https://www.redfin.com/CA/Claremont/2926-N-Mountain-Ave-91711/home/8045069,CRMLS,CV22092747,N,Y,34.1225033,-117.728678
PAST SALE,,Vacant Land,5410 Palmer Canyon Rd,Claremont,CA,91711,25000,,,683 - Claremont,,4705,,10,,25,Pending,,,https://www.redfin.com/CA/Claremont/5410-Palmer-Canyon-Rd-91711/home/8046875,CRMLS,CV22091696,N,Y,34.1635322,-117.7005676
MLS Listing,,Single Family Residential,695 Delaware Dr,Claremont,CA,91711,1300000,4,2.5,683 - Claremont,2265,11416,1958,14,574,,Active,,,https://www.redfin.com/CA/Claremont/695-Delaware-Dr-W-91711/home/7884731,CRMLS,AR22090700,N,Y,34.1116428,-117.7266031
MLS Listing,,Single Family Residential,4394 Hiwassee,Claremont,CA,91711,2589000,5,6.0,683 - Claremont,5890,24634,2006,14,440,255,Active,,,https://www.redfin.com/CA/Claremont/4394-Hiwassee-91711/home/22932019,CRMLS,CV22080221,N,Y,34.1507103,-117.6943807
MLS Listing,,Mobile/Manufactured Home,3800 Bradford St #192,La Verne,CA,91750,205000,2,2.0,684 - La Verne,1440,,1976,15,142,,Active,,,https://www.redfin.com/CA/La-Verne/3800-Bradford-St-91750/unit-192/home/179288115,CRMLS,CV22088778,N,Y,34.1109618,-117.7519805
MLS Listing,,Single Family Residential,2247 N Marietta Ave,Claremont,CA,91711,1125000,4,2.0,683 - Claremont,2527,9970,1968,12,445,,Active,,,https://www.redfin.com/CA/Claremont/2247-N-Marietta-Ave-91711/home/8045061,CRMLS,CV22003108,N,Y,34.1240642,-117.7266392
MLS Listing,,Single Family Residential,1504 Briarcroft Rd,Claremont,CA,91711,1155000,4,3.0,683 - Claremont,2854,10860,2002,17,405,,Active,,,https://www.redfin.com/CA/Claremont/1504-Briarcroft-Rd-91711/home/8139940,CRMLS,CV22073353,N,Y,34.1109809,-117.7476762
MLS Listing,,Single Family Residential,938 Olympic Ct,Claremont,CA,91711,2388000,6,6.0,683 - Claremont,5507,27005,2001,17,434,,Contingent,,,https://www.redfin.com/CA/Claremont/938-Olympic-Ct-91711/home/8112485,CRMLS,CV22080283,N,Y,34.1367591,-117.7001775
MLS Listing,,Single Family Residential,2419 San Mateo Ct,Claremont,CA,91711,1345000,4,3.0,683 - Claremont,2160,9955,1973,18,623,,Active,,,https://www.redfin.com/CA/Claremont/2419-San-Mateo-Ct-91711/home/8045354,CRMLS,MB22087964,N,Y,34.1278436,-117.7223323
MLS Listing,,Single Family Residential,1247 N College Ave,Claremont,CA,91711,2300000,4,3.5,683 - Claremont,3357,11250,1919,18,685,,Contingent,,,https://www.redfin.com/CA/Claremont/1247-N-College-Ave-91711/home/7886256,CRMLS,CV22077959,N,Y,34.1059307,-117.715276
MLS Listing,,Single Family Residential,539 Wayland Ct,Claremont,CA,91711,625000,2,2.5,683 - Claremont,1499,1596,1981,17,417,310,Contingent,,,https://www.redfin.com/CA/Claremont/539-Wayland-Ct-91711/home/7887919,CRMLS,CV22086324,N,Y,34.0931906,-117.7057278
MLS Listing,,Single Family Residential,1115 Briarcroft Rd,Claremont,CA,91711,1100000,4,2.5,Claremont,2354,10566,1956,19,467,,Contingent,,,https://www.redfin.com/CA/Claremont/1115-W-Briarcroft-Rd-91711/home/7884093,CSMAR,222001932,N,Y,34.1115865,-117.7375664
MLS Listing,,Single Family Residential,3714 Hollins Ave,Claremont,CA,91711,2828000,5,6.0,683 - Claremont,6533,39119,1989,19,433,,Active,,,https://www.redfin.com/CA/Claremont/3714-Hollins-Ave-91711/home/8047068,CRMLS,PW22058108,N,Y,34.1366687,-117.6949535
MLS Listing,,Single Family Residential,1490 Marjorie Ave,Claremont,CA,91711,785000,3,2.0,683 - Claremont,1800,7465,1977,18,436,162,Contingent,,,https://www.redfin.com/CA/Claremont/1490-Marjorie-Ave-91711/home/7885754,CRMLS,CV22084857,N,Y,34.110102,-117.7040955
MLS Listing,,Multi-Family (2-4 Unit),4003 Garey Ave,Claremont,CA,91711,998000,3,2.0,683 - Claremont,1844,17362,1947,20,541,,Contingent,,,https://www.redfin.com/CA/Claremont/4003-Garey-Ave-91711/home/7882745,CRMLS,CV22084869,N,Y,34.114586,-117.7488594
MLS Listing,,Single Family Residential,452 Notre Dame Rd,Claremont,CA,91711,885000,3,2.0,683 - Claremont,1560,8146,1959,23,567,,Contingent,,,https://www.redfin.com/CA/Claremont/452-Notre-Dame-Rd-91711/home/7888807,CRMLS,CV22079009,N,Y,34.0877406,-117.7225631
PAST SALE,December-24-2013,Single Family Residential,267 E San Jose Ave,Claremont,CA,91711,788888,3,1.5,683 - Claremont,1518,11108,1952,9,520,,Pending,,,https://www.redfin.com/CA/Claremont/267-E-San-Jose-Ave-91711/home/7888390,CRMLS,CV22083243,N,Y,34.0833723,-117.7107667
PAST SALE,April-4-2022,Condo/Co-op,4424 San Jose St #13,Montclair,CA,91763,495000,2,2.0,685 - Montclair,1448,1448,1981,10,342,275,Pending,,,https://www.redfin.com/CA/Montclair/4424-San-Jose-St-91763/unit-13/home/3899331,CRMLS,CV22082841,N,Y,34.0855059,-117.7076009
PAST SALE,February-15-1994,Single Family Residential,140 Smith Dr,Claremont,CA,91711,825000,3,2.0,683 - Claremont,1572,8840,1979,16,525,,Pending,,,https://www.redfin.com/CA/Claremont/140-Smith-Dr-91711/home/7882958,CRMLS,CV22082932,N,Y,34.1141543,-117.7470957
PAST SALE,September-23-1975,Single Family Residential,3408 Campus Ave,Claremont,CA,91711,725000,3,2.0,683 - Claremont,1169,6982,1953,1,620,,Pending,,,https://www.redfin.com/CA/Claremont/3408-Campus-Ave-91711/home/7887018,CRMLS,CV22080990,N,Y,34.1050297,-117.734428
MLS Listing,,Single Family Residential,3837 Shelter Grove Dr,Claremont,CA,91711,905000,3,2.0,683 - Claremont,1904,10154,1963,12,475,,Active,,,https://www.redfin.com/CA/Claremont/3837-Shelter-Grove-Dr-91711/home/7883163,CRMLS,CV22081667,N,Y,34.112377,-117.7465774
PAST SALE,July-27-2000,Single Family Residential,451 Champlain Dr,Claremont,CA,91711,720000,3,2.0,683 - Claremont,1436,8066,1974,6,501,330,Pending,,,https://www.redfin.com/CA/Claremont/451-Champlain-Dr-91711/home/7884913,CRMLS,CV22081161,N,Y,34.1194948,-117.7222635
MLS Listing,,Single Family Residential,820 Deep Springs Dr,Claremont,CA,91711,2288000,5,5.5,683 - Claremont,4525,23356,2007,25,506,95,Active,,,https://www.redfin.com/CA/Claremont/820-Deep-Springs-Dr-91711/home/21923751,CRMLS,CV22064166,N,Y,34.1399416,-117.7026749
MLS Listing,,Single Family Residential,2475 Valhalla St,Pomona,CA,91767,619800,3,2.0,687 - Pomona,1237,6220,1957,26,501,,Active,,,https://www.redfin.com/CA/Pomona/2475-Valhalla-St-91767/home/7889441,CRMLS,WS22074900,N,Y,34.0893676,-117.7308544
MLS Listing,,Single Family Residential,1932 Chapman Rd,Claremont,CA,91711,1150800,3,2.0,683 - Claremont,1911,10080,1964,27,602,,Active,,,https://www.redfin.com/CA/Claremont/1932-Chapman-Rd-91711/home/7883384,CRMLS,PW22074926,N,Y,34.1185888,-117.734649
PAST SALE,June-30-1999,Single Family Residential,786 California Dr,Claremont,CA,91711,950000,4,2.0,683 - Claremont,1870,14998,1957,20,508,,Pending,,,https://www.redfin.com/CA/Claremont/786-California-Dr-91711/home/7887138,CRMLS,CV22078656,N,Y,34.1020397,-117.732403
MLS Listing,,Single Family Residential,1400 Lynoak Dr Unit SR,Claremont,CA,91711,750000,3,2.0,683 - Claremont,1603,13470,1956,25,468,,Contingent,,,https://www.redfin.com/CA/Claremont/1400-Lynoak-Dr-91711/unit-SR/home/7883957,CRMLS,IG22072716,N,Y,34.1082711,-117.7395593
PAST SALE,September-1-1989,Single Family Residential,343 Geneva Ave,Claremont,CA,91711,725918,3,2.0,683 - Claremont,1150,8598,1952,15,631,,Pending,,,https://www.redfin.com/CA/Claremont/343-Geneva-Ave-91711/home/7888934,CRMLS,CV22078094,N,Y,34.0892393,-117.7259519
MLS Listing,,Vacant Land,0 Baseine,Claremont,CA,91711,1200000,,,683 - Claremont,,20239,,29,,,Active,,,https://www.redfin.com/CA/Claremont/W-Baseline-Rd-Unknown/home/142562266,CRMLS,CV22077618,N,Y,34.121245,-117.743721
MLS Listing,,Single Family Residential,2178 Ursinus Cir,Claremont,CA,91711,949900,4,2.0,683 - Claremont,1759,11079,1978,24,540,,Contingent,,,https://www.redfin.com/CA/Claremont/2178-Ursinus-Cir-91711/home/8046715,CRMLS,IG22077543,N,Y,34.1238205,-117.7131683
