City,Price,Beds,Baths,SQFT,LotSize,YearBuilt,Age,Parking,DOM,BeenReduced,LAT,LONG,ShortSale,Validation
St. Paul,214000,3,2,1954,6969,1918,96,2,117,Y,44.991634,-93.142616,FALSE,Training
St. Paul,134900,3,1,1028,4356,1911,103,1,93,Y,44.957291,-93.142624,FALSE,Test
St. Paul,129722,4,1,1420,5227,1900,114,0,77,Y,44.954708,-93.057976,FALSE,Training
St. Paul,134900,2,1.75,904,8712,1928,86,3,57,Y,44.952404,-93.142693,FALSE,Validation
St. Paul,134900,4,1,1980,4791,1904,110,2,117,Y,44.964642,-93.057945,FALSE,Training
Minneapolis,159000,3,2,1594,3484,1900,114,2,8,N,45.012962,-93.244789,FALSE,Training
St. Paul,69900,3,1.25,1255,7405,1894,120,3,91,N,44.971966,-93.05616,FALSE,Training
St. Paul,79990,2,1.25,816,4791,1927,87,1,5,N,44.977798,-93.057526,TRUE,Training
St. Paul,69900,3,1.5,1200,4791,1876,138,0,68,N,44.960121,-93.057121,FALSE,Training
St. Paul,249900,3,1.75,2056,6098,1952,62,1,77,N,44.910465,-93.181953,FALSE,Training
St. Paul,149900,5,1.75,1602,4791,1915,99,2,37,N,44.954582,-93.143738,FALSE,Test
St. Paul,177500,2,1,1538,4791,1929,85,1,75,N,44.972698,-93.134132,FALSE,Training
St. Paul,144900,3,1,1108,4791,1947,67,2,9,N,44.962364,-93.144569,FALSE,Training
St. Paul,464900,3,1.75,2132,12196,1956,58,2,34,N,44.909348,-93.180634,FALSE,Training
St. Paul,72000,3,2,1644,6969,1914,100,2,9,N,44.958725,-93.145119,FALSE,Training
St. Paul,147500,3,1,1455,5662,1953,61,5,100,Y,44.973854,-93.029457,FALSE,Training
St. Paul,119900,2,1,735,5662,1946,68,1,37,N,44.965065,-93.145378,FALSE,Test
St. Paul,57500,3,2,1117,4791,1908,106,2,84,Y,44.973686,-93.108864,FALSE,Training
St. Paul,80000,2,1.5,776,5662,1917,97,2,19,N,44.97377,-93.118416,TRUE,Test
St. Paul,214900,3,1.75,1434,6098,1951,63,2,70,N,44.90863,-93.187813,FALSE,Test
St. Paul,154900,4,2,1834,4791,1906,108,2,21,N,44.973911,-93.110695,FALSE,Training
St. Paul,79900,2,1,700,5662,1910,104,1,77,Y,44.973938,-93.115227,FALSE,Training
St. Paul,129900,3,1.75,1252,4791,1921,93,2,76,N,44.975998,-93.054565,FALSE,Test
St. Paul,699900,7,4.25,3955,6534,1923,91,2,7,N,44.933537,-93.145943,FALSE,Training
St. Paul,364900,3,2.25,1848,6098,1938,76,3,92,Y,44.93922,-93.146172,FALSE,Validation
St. Paul,94850,2,1,936,4791,1926,88,2,137,N,44.960629,-93.054131,FALSE,Training
St. Paul,104900,2,1,936,10454,1919,95,9,20,N,44.951061,-93.05423,FALSE,Validation
St. Paul,225000,4,1,1818,38768,1900,114,2,137,Y,44.990578,-93.101143,FALSE,Test
Minneapolis,259800,3,1.5,1295,4356,1909,105,1,51,N,44.915787,-93.278603,FALSE,Training
St. Paul,199900,3,1,1600,6098,1922,92,2,117,N,44.980007,-93.054131,FALSE,Training
St. Paul,186900,2,1,938,5662,1926,88,1,86,Y,44.927601,-93.146851,FALSE,Validation
St. Paul,123900,4,1,1075,5227,1922,92,3,15,N,44.97456,-93.0504,FALSE,Training
St. Paul,699900,6,4.25,5223,26136,1912,102,12,44,Y,44.940853,-93.147011,FALSE,Validation
St. Paul,149990,3,2,1220,4791,2014,0,1,104,N,44.966068,-93.053917,FALSE,Test
Minneapolis,499999,3,2.5,2402,6969,1931,83,2,56,Y,44.913395,-93.258186,FALSE,Validation
Minneapolis,129900,3,2.25,1496,3484,2006,8,2,63,N,45.004608,-93.294952,FALSE,Training
St. Paul,129900,3,1.25,964,8276,1970,44,2,5,N,44.955235,-93.053474,TRUE,Validation
St. Paul,169900,3,1.5,1480,4791,1926,88,3,45,N,44.975105,-93.0504,FALSE,Training
Minneapolis,850000,4,3.25,3646,8712,1932,82,2,137,Y,44.919872,-93.294502,TRUE,Training
St. Paul,129900,2,1.5,1781,3920,1923,91,1,19,N,44.977295,-93.053085,TRUE,Training
St. Paul,129900,2,1.5,1407,4791,1909,105,2,33,Y,44.975082,-93.10759,FALSE,Training
St. Paul,76500,3,1,1108,2613,1890,124,1,36,N,44.965164,-93.052773,TRUE,Validation
St. Paul,369900,3,2.75,1870,6098,1922,92,1,89,Y,44.936054,-93.14785,FALSE,Training
St. Paul,129900,3,1,1005,4791,1920,94,2,77,Y,44.957291,-93.148102,FALSE,Training
St. Paul,99900,4,1.75,1900,4791,1926,88,1,119,Y,44.977798,-93.052315,FALSE,Validation
St. Paul,119900,3,2,1696,6969,1912,102,2,112,Y,44.949902,-93.062836,FALSE,Training
St. Paul,134900,3,1,1110,6534,1949,65,3,8,N,44.975792,-93.028221,FALSE,Training
Minneapolis,549000,4,1.5,2012,7840,1923,91,1,47,Y,44.912052,-93.279961,FALSE,Training
St. Paul,124900,3,2.25,2179,8712,1911,103,5,113,Y,44.975971,-93.077736,FALSE,Training
St. Paul,229900,3,1.5,1835,4791,1906,108,2,137,Y,44.987713,-93.148537,TRUE,Test
St. Paul,139900,4,1.75,1400,5227,1938,76,1,75,Y,44.959236,-93.051765,FALSE,Training
St. Paul,123900,3,1,1148,10890,1888,126,2,112,Y,44.975945,-93.076996,FALSE,Training
St. Paul,152900,4,1.75,1904,3920,1922,92,1,7,N,44.948277,-93.148842,FALSE,Training
St. Paul,129900,4,1.75,1424,5227,1948,66,1,110,N,44.976227,-93.112686,FALSE,Training
St. Paul,62400,1,1,510,4791,1928,86,1,119,N,44.972778,-93.051414,FALSE,Training
St. Paul,124900,2,1,676,4791,1940,74,2,56,N,44.961823,-93.149513,FALSE,Test
St. Paul,117000,2,1,1017,13285,1889,125,2,106,Y,44.954735,-93.051445,FALSE,Training
St. Paul,264900,3,1.75,2304,5227,1922,92,2,117,Y,44.978699,-93.051247,FALSE,Training
St. Paul,119900,2,1,1314,5662,1941,73,1,29,N,44.97633,-93.114479,FALSE,Test
St. Paul,89900,5,1.75,1835,6534,1894,120,2,1,N,44.990303,-93.104721,FALSE,Training
St. Paul,675000,2,2.25,3130,6098,1925,89,3,107,N,44.936527,-93.149643,FALSE,Test
St. Paul,160000,3,1.75,1894,6534,1953,61,1,77,Y,44.976803,-93.078262,FALSE,Training
St. Paul,120000,3,1.25,1183,4791,1939,75,1,13,N,44.976944,-93.077713,FALSE,Training
St. Paul,139900,3,1.75,1201,4791,1917,97,2,119,Y,44.95871,-93.150612,FALSE,Test
St. Paul,129900,3,1.25,1600,6098,1941,73,0,36,N,44.950699,-93.050262,FALSE,Training
St. Paul,179900,3,1,864,6098,1953,61,2,86,Y,44.905338,-93.183754,FALSE,Test
St. Paul,375000,3,1.75,1980,9147,1990,24,2,137,Y,44.942013,-93.150826,FALSE,Training
St. Paul,329900,3,2.75,2478,6098,1937,77,2,57,Y,44.924892,-93.15094,FALSE,Test
Minneapolis,519900,3,2.5,2973,6098,1923,91,4,137,Y,44.907166,-93.29483,FALSE,Test
St. Paul,1375000,5,4.25,4934,14810,1910,104,2,137,N,44.944958,-93.115173,FALSE,Test
St. Paul,750000,5,3.5,3849,13503,1933,81,3,77,N,44.920876,-93.151428,FALSE,Training
St. Paul,140000,3,1.5,1167,8712,1915,99,2,137,Y,44.978348,-93.124138,FALSE,Validation
St. Paul,139900,2,1,1530,9147,1950,64,1,9,N,44.957508,-93.048401,FALSE,Training
St. Paul,90000,3,1,1308,5227,1880,134,4,57,Y,44.965187,-93.048447,TRUE,Training
St. Paul,169900,4,1.5,1744,4791,1890,124,0,50,N,44.961803,-93.152847,FALSE,Test
St. Paul,124000,3,2.5,1700,9147,1915,99,2,18,N,44.966984,-93.047867,FALSE,Training
St. Paul,159900,2,1,1120,4791,1940,74,1,137,Y,44.923996,-93.153175,FALSE,Test
St. Paul,299500,3,1.75,1395,4791,1927,87,2,2,N,44.931755,-93.153152,FALSE,Training
St. Paul,129850,3,1,1382,5227,1929,85,2,49,N,44.979248,-93.077744,FALSE,Validation
St. Paul,199000,4,1.25,1887,125888,1885,129,2,96,N,44.903839,-93.009346,FALSE,Training
St. Paul,159900,3,1,1184,10454,1931,83,5,110,Y,44.979492,-93.126785,FALSE,Training
St. Paul,134990,3,1,1774,5227,1921,93,4,103,Y,44.958855,-93.046776,FALSE,Training
St. Paul,99000,2,1,960,5532,1919,95,1,12,N,44.97958,-93.10685,FALSE,Training
St. Paul,165000,4,1.5,1544,5227,1913,101,2,96,N,44.967216,-93.154083,FALSE,Training
St. Paul,84900,3,1.75,1381,3920,1891,123,3,99,Y,44.979755,-93.075775,FALSE,Training
St. Paul,153334,3,1,1120,5227,1916,98,2,72,Y,44.967205,-93.154472,FALSE,Validation
St. Paul,439000,4,2.5,3007,13068,1927,87,2,1,N,44.980263,-93.134377,FALSE,Training
St. Paul,414900,5,3.5,2922,4791,2004,10,2,12,N,44.928524,-93.154785,FALSE,Training
St. Paul,124900,3,1.5,1140,6098,1947,67,4,137,N,44.980152,-93.111389,FALSE,Training
St. Paul,559900,4,3.25,2762,4791,2014,0,4,11,N,44.92218,-93.155106,FALSE,Training
St. Paul,699900,5,3.75,4500,14810,1927,87,2,77,N,44.945347,-93.196625,FALSE,Training
St. Paul,155900,4,1.5,1806,5227,1910,104,1,2,N,44.980534,-93.1101,FALSE,Training
St. Paul,520000,4,3.5,2907,4791,2013,1,2,57,N,44.920876,-93.155418,FALSE,Training
St. Paul,225000,3,1.75,1252,4791,1925,89,2,65,N,44.923096,-93.155838,FALSE,Training
St. Paul,279900,3,1.75,1400,4791,1929,85,2,12,N,44.928528,-93.155869,FALSE,Validation
Minneapolis,119000,2,1,644,5662,1900,114,2,57,Y,45.001488,-93.257919,FALSE,Validation
St. Paul,129900,3,1.5,1008,4791,1900,114,2,77,Y,44.958683,-93.156013,FALSE,Test
St. Paul,324900,4,3.5,2908,4791,2004,10,2,65,Y,44.920376,-93.156189,FALSE,Training
St. Paul,499000,3,2.5,1820,4791,2013,1,2,92,N,44.920879,-93.156189,FALSE,Training
St. Paul,289900,3,1.75,1604,4791,1925,89,2,65,Y,44.92128,-93.156647,FALSE,Test
St. Paul,159900,4,1,1740,4791,1889,125,2,86,Y,44.959591,-93.157021,FALSE,Training
St. Paul,144850,4,1,1498,4791,1952,62,1,33,N,44.96067,-93.043449,FALSE,Training
St. Paul,182500,4,1.5,2288,9583,1958,56,4,89,Y,44.982147,-93.042671,FALSE,Training
St. Paul,162900,4,1.75,1677,6098,1963,51,1,19,Y,44.982059,-93.077019,FALSE,Training
St. Paul,58895,4,1,1589,15245,1914,100,2,92,Y,44.969845,-93.042847,FALSE,Test
St. Paul,40000,4,1,1720,3920,1890,124,1,119,N,44.965683,-93.094833,TRUE,Validation
St. Paul,179900,4,2,3123,4791,1961,53,2,93,Y,44.98222,-93.12336,FALSE,Training
St. Paul,195000,3,1,1585,5227,1914,100,2,23,N,44.934498,-93.157745,FALSE,Training
St. Paul,119000,3,1.5,1412,6969,1922,92,2,119,Y,44.961594,-93.042603,FALSE,Test
St. Paul,199900,3,1.5,1270,4791,1917,97,4,5,N,44.928535,-93.15831,FALSE,Training
St. Paul,159900,3,2.5,1996,3484,2000,14,2,43,N,44.959732,-93.042038,FALSE,Test
St. Paul,239900,4,2,2294,8276,1915,99,6,43,Y,44.982903,-93.130943,FALSE,Validation
St. Paul,124900,3,1,1238,4791,1925,89,1,20,N,44.983269,-93.024872,FALSE,Training
St. Paul,179000,3,1,1012,3484,1957,57,1,6,N,44.930885,-93.159065,FALSE,Training
St. Paul,149900,3,1,1548,4791,1888,126,2,137,Y,44.959579,-93.159027,FALSE,Training
St. Paul,179900,3,1.75,1647,5227,1925,89,4,89,N,44.98341,-93.166573,FALSE,Training
St. Paul,294900,4,1.5,2034,10454,1932,82,4,106,Y,44.982029,-93.159378,FALSE,Validation
St. Paul,149900,3,1.5,1800,4791,1903,111,2,106,N,44.962662,-93.159721,FALSE,Training
