id,PAR_TC,PAR_SC,PAR_SC_V,PAR_ASE1,PAR_ASE2,PAR_ASE3,PAR_ASE4,PAR_ASE5,PAR_ASE6,PAR_ASE7,PAR_ASE8,PAR_ASE9,PAR_ASE10,PAR_ASE11,PAR_ASE12,PAR_ASE13,PAR_ASE14,PAR_ASE15,PAR_ASE16,PAR_ASE17,PAR_ASE18,PAR_ASE19,PAR_ASE20,PAR_ASE21,PAR_ASE22,PAR_ASE23,PAR_ASE24,PAR_ASE25,PAR_ASE26,PAR_ASE27,PAR_ASE28,PAR_ASE29,PAR_ASE30,PAR_ASE31,PAR_ASE32,PAR_ASE33,PAR_ASE34,PAR_ASE_M,PAR_ASEV1,PAR_ASEV2,PAR_ASEV3,PAR_ASEV4,PAR_ASEV5,PAR_ASEV6,PAR_ASEV7,PAR_ASEV8,PAR_ASEV9,PAR_ASEV10,PAR_ASEV11,PAR_ASEV12,PAR_ASEV13,PAR_ASEV14,PAR_ASEV15,PAR_ASEV16,PAR_ASEV17,PAR_ASEV18,PAR_ASEV19,PAR_ASEV20,PAR_ASEV21,PAR_ASEV22,PAR_ASEV23,PAR_ASEV24,PAR_ASEV25,PAR_ASEV26,PAR_ASEV27,PAR_ASEV28,PAR_ASEV29,PAR_ASEV30,PAR_ASEV31,PAR_ASEV32,PAR_ASEV33,PAR_ASEV34,PAR_ASE_MV,PAR_ASC,PAR_ASC_V,PAR_ASS,PAR_ASS_V,PAR_SFM1,PAR_SFM2,PAR_SFM3,PAR_SFM4,PAR_SFM5,PAR_SFM6,PAR_SFM7,PAR_SFM8,PAR_SFM9,PAR_SFM10,PAR_SFM11,PAR_SFM12,PAR_SFM13,PAR_SFM14,PAR_SFM15,PAR_SFM16,PAR_SFM17,PAR_SFM18,PAR_SFM19,PAR_SFM20,PAR_SFM21,PAR_SFM22,PAR_SFM23,PAR_SFM24,PAR_SFM_M,PAR_SFMV1,PAR_SFMV2,PAR_SFMV3,PAR_SFMV4,PAR_SFMV5,PAR_SFMV6,PAR_SFMV7,PAR_SFMV8,PAR_SFMV9,PAR_SFMV10,PAR_SFMV11,PAR_SFMV12,PAR_SFMV13,PAR_SFMV14,PAR_SFMV15,PAR_SFMV16,PAR_SFMV17,PAR_SFMV18,PAR_SFMV19,PAR_SFMV20,PAR_SFMV21,PAR_SFMV22,PAR_SFMV23,PAR_SFMV24,PAR_SFM_MV,PAR_MFCC1,PAR_MFCC2,PAR_MFCC3,PAR_MFCC4,PAR_MFCC5,PAR_MFCC6,PAR_MFCC7,PAR_MFCC8,PAR_MFCC9,PAR_MFCC10,PAR_MFCC11,PAR_MFCC12,PAR_MFCC13,PAR_MFCC14,PAR_MFCC15,PAR_MFCC16,PAR_MFCC17,PAR_MFCC18,PAR_MFCC19,PAR_MFCC20,PAR_MFCCV1,PAR_MFCCV2,PAR_MFCCV3,PAR_MFCCV4,PAR_MFCCV5,PAR_MFCCV6,PAR_MFCCV7,PAR_MFCCV8,PAR_MFCCV9,PAR_MFCCV10,PAR_MFCCV11,PAR_MFCCV12,PAR_MFCCV13,PAR_MFCCV14,PAR_MFCCV15,PAR_MFCCV16,PAR_MFCCV17,PAR_MFCCV18,PAR_MFCCV19,PAR_MFCCV20,PAR_THR_1RMS_TOT,PAR_THR_2RMS_TOT,PAR_THR_3RMS_TOT,PAR_THR_1RMS_10FR_MEAN,PAR_THR_1RMS_10FR_VAR,PAR_THR_2RMS_10FR_MEAN,PAR_THR_2RMS_10FR_VAR,PAR_THR_3RMS_10FR_MEAN,PAR_THR_3RMS_10FR_VAR,PAR_PEAK_RMS_TOT,PAR_PEAK_RMS10FR_MEAN,PAR_PEAK_RMS10FR_VAR,PAR_ZCD,PAR_1RMS_TCD,PAR_2RMS_TCD,PAR_3RMS_TCD,PAR_ZCD_10FR_MEAN,PAR_ZCD_10FR_VAR,PAR_1RMS_TCD_10FR_MEAN,PAR_1RMS_TCD_10FR_VAR,PAR_2RMS_TCD_10FR_MEAN,PAR_2RMS_TCD_10FR_VAR,PAR_3RMS_TCD_10FR_MEAN,PAR_3RMS_TCD_10FR_VAR
1,2.0149,453.65,30081,-0.14513,-0.14284,-0.13256,-0.12868,-0.12944,-0.12712,-0.11166,-0.10596,-0.11874,-0.15689,-0.11963,-0.11907,-0.13656,-0.11701,-0.12265,-0.13256,-0.13776,-0.12865,-0.12666,-0.15545,-0.14545,-0.15192,-0.15502,-0.17215,-0.1704,-0.19234,-0.20415,-0.21532,-0.22655,-0.23593,-0.24501,-0.2652,-0.28036,-0.27705,-0.1627,0.00032347,0.00039495,0.00024755,0.00031712,0.00043303,0.00038131,0.0010009,0.0013484,0.00092481,0.00040616,0.00032187,0.00038069,0.00038229,0.00044516,0.00033235,0.00030628,0.00057974,0.00038579,0.00044602,0.00020159,0.00026512,0.00024252,0.00030678,0.00020239,0.00029221,0.00012022,0.00011124,0.00015562,0.00022522,0.00036825,0.00055383,0.00086967,0.00098291,0.00098848,0.00044835,-1.8882,0.57077,1.2523,0.10602,0.12973,0.0041744,0.031914,0.046088,0.029652,0.028124,0.02233,0.014913,0.020369,0.019695,0.019426,0.018348,0.052079,0.034533,0.031531,0.028276,0.076799,0.074577,0.057202,0.049754,0.11184,0.089109,0.069975,0.081798,0.047593,0.0035625,0.00000269,0.00099444,0.001459,0.00048317,0.00040269,0.00024979,0.00012172,0.00038991,0.00036419,0.00033076,0.00014925,0.0007062,0.00051775,0.00044827,0.00029315,0.00086722,0.00069314,0.00048644,0.00022102,0.00060198,0.00090441,0.0008742,0.00000469,0.00063036,1.6549,-0.86779,0.25074,-0.19863,0.19542,0.047234,-0.024308,-0.039309,-0.043698,0.083554,-0.023428,0.00075532,0.1128,0.028306,0.13204,-0.090293,-0.08928,-0.046493,-0.057642,-0.0031796,1.6549,-0.86779,0.25074,-0.19863,0.19542,0.047234,-0.024308,-0.039309,-0.043698,0.083554,-0.023428,0.00075532,0.1128,0.028306,0.13204,-0.090293,-0.08928,-0.046493,-0.057642,-0.0031796,0.1186,0.036417,0.0066168,0.15115,0.00065875,0.023837,0.00020016,0.0036245,0.00002,5.4543,36.722,4298.7,0.027605,0.022395,0.011773,0.0035918,0.026128,0.0000433,0.024958,0.00050053,0.013426,0.00021466,0.0041143,0.0000309
2,2.4641,1230.1,118150,-0.13458,-0.12507,-0.12101,-0.11342,-0.11035,-0.11222,-0.12041,-0.13534,-0.14039,-0.14256,-0.14789,-0.14499,-0.14452,-0.15016,-0.16292,-0.18933,-0.18954,-0.1821,-0.17087,-0.16101,-0.17382,-0.1362,-0.12643,-0.13321,-0.1512,-0.1676,-0.18165,-0.19581,-0.19416,-0.21834,-0.23255,-0.24252,-0.26883,-0.28893,-0.165,0.00057811,0.00064885,0.00044616,0.00024395,0.00023171,0.00031267,0.0003055,0.00028486,0.00033975,0.0002981,0.00031705,0.00027525,0.00036203,0.0005248,0.000731,0.0003635,0.00031026,0.00022636,0.00018981,0.00013789,0.00017585,0.00017017,0.000093,0.0000828,0.0000832,0.0000809,0.0000885,0.00014598,0.00013793,0.00019639,0.0001207,0.00029066,0.00023924,0.0003736,0.00027666,-1.2928,0.42573,2.2601,0.044638,0.17979,0.006152,0.096324,0.095508,0.05464,0.050394,0.048537,0.039976,0.066989,0.067717,0.054593,0.044826,0.073507,0.078685,0.073991,0.052492,0.11817,0.08886,0.081422,0.058604,0.11183,0.095111,0.068691,0.063654,0.073769,0.0026054,0.00000201,0.00094147,0.0011616,0.00059979,0.00062022,0.00028074,0.00017643,0.00048042,0.00026368,0.0001327,0.00010446,0.00043941,0.00018866,0.00010206,0.00011506,0.00014305,0.00021818,0.0000709,0.0000771,0.00025185,0.00023731,0.0002046,0.000071,0.00039534,-1.4136,-0.16972,1.1942,-0.13539,0.12225,0.13261,-0.23593,-0.22477,0.10527,0.07228,-0.035175,0.036526,0.16212,0.02192,-0.10014,0.15587,-0.033065,-0.062823,-0.072739,-0.039861,-1.4136,-0.16972,1.1942,-0.13539,0.12225,0.13261,-0.23593,-0.22477,0.10527,0.07228,-0.035175,0.036526,0.16212,0.02192,-0.10014,0.15587,-0.033065,-0.062823,-0.072739,-0.039861,0.15984,0.02146,0.001093,0.16034,0.0000218,0.021763,0.00000884,0.0010449,0.000000538,3.3512,3.3502,0.021844,0.083129,0.10319,0.023311,0.002059,0.083537,0.000058,0.10343,0.0000376,0.023521,0.0000109,0.0021986,0.00000119
3,2.6691,663.93,321010,-0.136,-0.14765,-0.13831,-0.12772,-0.11744,-0.11315,-0.11472,-0.11944,-0.12389,-0.12046,-0.12644,-0.12704,-0.14482,-0.15018,-0.1534,-0.14085,-0.15941,-0.16084,-0.1517,-0.15643,-0.14868,-0.16478,-0.13257,-0.15088,-0.16382,-0.18031,-0.18829,-0.2107,-0.22605,-0.23437,-0.25016,-0.25141,-0.25567,-0.28028,-0.16376,0.00055966,0.00064601,0.0006538,0.00053737,0.00040762,0.00036253,0.00041032,0.00048133,0.00054796,0.00050661,0.00046497,0.0006502,0.00045194,0.00043691,0.00031001,0.00058692,0.00043736,0.00024324,0.00049841,0.00036532,0.00068435,0.00026558,0.0013977,0.00058079,0.00035554,0.000133,0.00019347,0.00013689,0.00020037,0.00038669,0.0010496,0.0012409,0.0014294,0.00048108,0.00053217,-2.0375,1.833,1.4412,0.18908,0.18693,0.0051594,0.088981,0.099028,0.07593,0.058079,0.043352,0.034038,0.078324,0.059545,0.045573,0.035174,0.085622,0.049827,0.04307,0.049724,0.11087,0.088775,0.053249,0.049303,0.079572,0.080483,0.065146,0.048324,0.067253,0.0019723,0.00000342,0.0012374,0.0014816,0.00056994,0.00047185,0.00041266,0.00029971,0.00060646,0.00080713,0.00047733,0.00033841,0.0012412,0.0011391,0.00091644,0.00030912,0.0005023,0.00024495,0.00048984,0.00029843,0.0011554,0.0012336,0.00085271,0.00096761,0.00075121,0.19843,-0.44035,1.0235,-0.32578,0.27304,0.11723,-0.048102,0.071937,0.42263,-0.18871,0.12275,0.011698,-0.12144,-0.019928,0.20084,-0.13625,-0.095432,0.031608,-0.072865,-0.067231,0.19843,-0.44035,1.0235,-0.32578,0.27304,0.11723,-0.048102,0.071937,0.42263,-0.18871,0.12275,0.011698,-0.12144,-0.019928,0.20084,-0.13625,-0.095432,0.031608,-0.072865,-0.067231,0.10572,0.036939,0.01122,0.10497,0.00091177,0.033747,0.0000451,0.01021,0.0000363,6.7082,11.312,31.712,0.045279,0.041188,0.020354,0.0077732,0.043712,0.00086097,0.034781,0.0024499,0.017121,0.00064824,0.0066503,0.00010139
4,3.1202,356.8,9544.4,-0.12199,-0.13526,-0.14674,-0.14414,-0.14408,-0.14239,-0.14174,-0.13182,-0.11862,-0.11167,-0.10433,-0.11488,-0.10948,-0.10444,-0.11505,-0.15858,-0.14456,-0.16493,-0.15319,-0.169,-0.17485,-0.18154,-0.18228,-0.19151,-0.18936,-0.21065,-0.20685,-0.21212,-0.21824,-0.22245,-0.22682,-0.23309,-0.24295,-0.23982,-0.16498,0.00053542,0.00058018,0.00044398,0.00019826,0.00030205,0.0004437,0.00049642,0.00081639,0.0010041,0.00048327,0.00029029,0.00029649,0.00039084,0.00020905,0.00028313,0.00040164,0.0004051,0.00029386,0.00068844,0.00044727,0.00032695,0.00025408,0.00025221,0.00026849,0.00045115,0.00017389,0.00021272,0.00014833,0.00018325,0.00025931,0.00036753,0.0004288,0.00040025,0.00040627,0.00038656,-1.857,0.34987,1.0061,0.1959,0.11432,0.0044542,0.071834,0.07357,0.052589,0.019015,0.023776,0.023107,0.048847,0.037814,0.02599,0.026114,0.081451,0.052449,0.057178,0.042032,0.096487,0.090761,0.076013,0.062841,0.12104,0.10745,0.080163,0.082046,0.061306,0.0034845,0.0000025,0.0014401,0.0013396,0.00064307,0.00018017,0.00032703,0.00018911,0.00083447,0.00065142,0.00030853,0.00032191,0.0014152,0.00089683,0.00074455,0.0006451,0.0018835,0.0011666,0.00062625,0.0003381,0.00082506,0.00051881,0.00046217,0.00000268,0.00080197,3.2959,0.59828,0.47414,0.01506,-0.00000749,-0.30356,-0.43545,-0.1281,-0.039264,0.048866,-0.092323,0.013509,0.031604,-0.091519,0.084326,-0.019421,-0.095123,-0.010185,-0.17894,0.049689,3.2959,0.59828,0.47414,0.01506,-0.00000749,-0.30356,-0.43545,-0.1281,-0.039264,0.048866,-0.092323,0.013509,0.031604,-0.091519,0.084326,-0.019421,-0.095123,-0.010185,-0.17894,0.049689,0.076494,0.032213,0.014694,0.1537,0.00049276,0.022139,0.0000201,0.0028408,0.00000957,9.2787,26.662,416.26,0.018762,0.0097868,0.0057506,0.0033923,0.019135,0.0000142,0.011744,0.00027649,0.0069007,0.00016521,0.0040707,0.0000821
5,2.631,711.31,595710,-0.17108,-0.16639,-0.16171,-0.15255,-0.13898,-0.12784,-0.12037,-0.11656,-0.11663,-0.11363,-0.1257,-0.13068,-0.12948,-0.13784,-0.14806,-0.14119,-0.14634,-0.15556,-0.15744,-0.16494,-0.16481,-0.17276,-0.17368,-0.1765,-0.17573,-0.1734,-0.17697,-0.18187,-0.18615,-0.19253,-0.197,-0.21878,-0.30251,-0.30055,-0.16518,0.00038599,0.00053544,0.00050082,0.00044825,0.00046602,0.00061873,0.0005847,0.00051664,0.00036132,0.00021925,0.00023631,0.00041087,0.00037685,0.00027952,0.00021749,0.00025732,0.00020114,0.00021582,0.0001996,0.00013064,0.00012799,0.00012257,0.00010464,0.00010899,0.00018519,0.00028299,0.00021511,0.00025041,0.00029187,0.00025012,0.0003143,0.00081041,0.00056191,0.00058914,0.00033466,-1.686,0.49539,1.1885,0.32219,0.16977,0.0047606,0.10813,0.10344,0.073162,0.066827,0.053205,0.04218,0.074751,0.064733,0.052817,0.045177,0.10123,0.073955,0.064357,0.055592,0.11091,0.098943,0.080165,0.060039,0.12192,0.087032,0.012359,0.081675,0.075297,0.0023127,0.00000419,0.001075,0.0010737,0.00056439,0.0003945,0.00024055,0.00014735,0.00052047,0.00040232,0.00031765,0.0001731,0.00054377,0.00052345,0.00060438,0.00025629,0.00088964,0.00024684,0.00017046,0.00014963,0.00023628,0.00065659,0.00020095,0.0000189,0.00048846,0.25062,0.48604,0.012927,0.13206,0.10265,0.023757,0.1402,0.048264,0.063013,0.0077736,0.0052374,-0.047385,-0.035885,0.051641,0.030283,0.015298,-0.10303,-0.042013,-0.032686,-0.12985,0.25062,0.48604,0.012927,0.13206,0.10265,0.023757,0.1402,0.048264,0.063013,0.0077736,0.0052374,-0.047385,-0.035885,0.051641,0.030283,0.015298,-0.10303,-0.042013,-0.032686,-0.12985,0.10649,0.032599,0.0093469,0.11639,0.00083102,0.029823,0.0000533,0.0078803,0.0000352,8.2967,9.7906,15.167,0.050757,0.038322,0.014286,0.0055964,0.053273,0.0024791,0.03963,0.0019275,0.014988,0.00040743,0.006117,0.0000779
6,2.4961,959.71,109030,-0.18305,-0.18194,-0.16747,-0.15601,-0.14735,-0.14186,-0.14021,-0.13833,-0.14118,-0.1315,-0.12586,-0.12122,-0.12472,-0.11902,-0.12489,-0.12075,-0.13831,-0.13491,-0.13245,-0.12527,-0.13787,-0.13238,-0.15395,-0.15128,-0.15853,-0.16774,-0.18327,-0.19023,-0.20572,-0.21655,-0.22407,-0.24379,-0.30427,-0.30137,-0.16374,0.0002608,0.00044213,0.00066497,0.00065233,0.00065634,0.00063042,0.00057695,0.00048294,0.00036783,0.00032259,0.000357,0.00038343,0.00034611,0.00046512,0.00043139,0.00025405,0.00045548,0.00038318,0.000556,0.00035376,0.00048191,0.00023896,0.00037606,0.0002448,0.00019347,0.00033218,0.00028883,0.00025676,0.00027631,0.00029268,0.00042898,0.00057545,0.00037208,0.00036839,0.00040499,-0.56635,0.31017,1.1242,0.038608,0.17373,0.004587,0.085547,0.07392,0.052099,0.039272,0.032301,0.024403,0.043305,0.035622,0.020086,0.023405,0.042853,0.025108,0.029029,0.02329,0.045002,0.033956,0.029928,0.026766,0.069897,0.060287,0.025589,0.082606,0.045941,0.0026074,0.00000315,0.0012404,0.0012955,0.00059734,0.00049771,0.00034124,0.0001875,0.00046609,0.00046313,0.00021311,0.00018198,0.00061673,0.00027964,0.00025001,0.00019804,0.00095668,0.00071214,0.00038832,0.00025072,0.0010435,0.0007328,0.00065248,0.000000641,0.00059068,0.69485,-0.90864,0.19498,-0.10439,-0.077833,-0.29342,-0.16721,-0.10668,0.10447,0.013869,-0.11532,-0.091349,0.047665,-0.023907,-0.11107,0.015262,0.0049703,-0.12322,-0.12185,-0.039248,0.69485,-0.90864,0.19498,-0.10439,-0.077833,-0.29342,-0.16721,-0.10668,0.10447,0.013869,-0.11532,-0.091349,0.047665,-0.023907,-0.11107,0.015262,0.0049703,-0.12322,-0.12185,-0.039248,0.12421,0.025011,0.0072925,0.15044,0.00022016,0.022966,0.0000119,0.0026721,0.00000778,7.3607,9.9796,12.149,0.054376,0.051406,0.012195,0.0033741,0.056087,0.00017691,0.048136,0.00072557,0.0076136,0.0000313,0.00069116,0.0000018
7,2.5405,633.71,21702,-0.19004,-0.18303,-0.16169,-0.1432,-0.12936,-0.12168,-0.11998,-0.11618,-0.1147,-0.12209,-0.12709,-0.11214,-0.10711,-0.093943,-0.12335,-0.12066,-0.12705,-0.12432,-0.1246,-0.1289,-0.13238,-0.14404,-0.14965,-0.15976,-0.16812,-0.18136,-0.19787,-0.20885,-0.21777,-0.23063,-0.24509,-0.26897,-0.30356,-0.30063,-0.16176,0.00039271,0.00056249,0.00033279,0.00019966,0.00021756,0.00025321,0.00020046,0.00021334,0.00022042,0.00023547,0.00022676,0.00021796,0.00016462,0.00031278,0.00022758,0.00022457,0.00015478,0.00021248,0.00019445,0.00021669,0.00026766,0.00014792,0.00024357,0.00015895,0.00013555,0.00012735,0.00010001,0.0000972,0.00010384,0.00014134,0.00026044,0.00046638,0.00040878,0.00040614,0.00023664,-1.0808,0.122,1.0321,0.028638,0.16965,0.005005,0.10706,0.090776,0.041444,0.051312,0.037313,0.026707,0.049458,0.037526,0.02412,0.026624,0.065151,0.0414,0.041348,0.037789,0.073303,0.071469,0.053802,0.03715,0.095224,0.073212,0.05162,0.082867,0.057972,0.0027453,0.00000336,0.0010869,0.0013951,0.00063295,0.0003408,0.00031898,0.00012384,0.00034347,0.00023311,0.00015615,0.00014606,0.00049222,0.00026047,0.00027375,0.00016194,0.00062268,0.00045814,0.00030049,0.00024609,0.00077418,0.00091623,0.0011551,1.33E-08,0.00054947,1.4337,-0.86203,0.26994,-0.12852,0.0018637,-0.27286,-0.20735,-0.11626,-0.10793,-0.12077,-0.097178,-0.049284,0.024994,-0.033986,0.077393,0.0013021,-0.059002,-0.11205,-0.029423,-0.08045,1.4337,-0.86203,0.26994,-0.12852,0.0018637,-0.27286,-0.20735,-0.11626,-0.10793,-0.12077,-0.097178,-0.049284,0.024994,-0.033986,0.077393,0.0013021,-0.059002,-0.11205,-0.029423,-0.08045,0.13914,0.028141,0.0043719,0.15168,0.00031628,0.023804,0.0000232,0.0024871,0.00000503,5.3525,5.7354,2.7227,0.0362,0.039166,0.011311,0.002322,0.037257,0.0000155,0.042601,0.00024652,0.012604,0.00011104,0.0025905,0.0000149
8,1.7346,337.88,4403.2,-0.1168,-0.13082,-0.14323,-0.14093,-0.13618,-0.11773,-0.10939,-0.10702,-0.10089,-0.10387,-0.097445,-0.098669,-0.10506,-0.10197,-0.11371,-0.14015,-0.14661,-0.15811,-0.15421,-0.18353,-0.18185,-0.19545,-0.20176,-0.20366,-0.21146,-0.21776,-0.21928,-0.22247,-0.22611,-0.22651,-0.22793,-0.23198,-0.24195,-0.23903,-0.16334,0.00022887,0.00028901,0.00017548,0.00022481,0.00047555,0.00010727,0.00017202,0.00021028,0.00016429,0.00058799,0.00028363,0.00057427,0.00034824,0.00020398,0.00039454,0.00030389,0.00032959,0.0002783,0.00047717,0.00019722,0.00042611,0.00021295,0.00017423,0.00024249,0.0000904,0.0000355,0.0000601,0.0000505,0.0000632,0.0000845,0.0001057,0.00011222,0.0000855,0.0000824,0.00023095,-1.7818,0.12485,0.77913,0.1096,0.16064,0.0035809,0.083108,0.09043,0.032444,0.028621,0.029738,0.02468,0.05034,0.03425,0.039738,0.037492,0.10541,0.082089,0.074128,0.06812,0.13145,0.11272,0.088283,0.073339,0.13066,0.11405,0.081968,0.082377,0.073319,0.004384,0.00000384,0.0017131,0.001566,0.00059487,0.00030231,0.00030951,0.00023559,0.00078544,0.00084657,0.00070109,0.00046692,0.0014902,0.00083127,0.00092037,0.00033005,0.00024944,0.00035288,0.00019952,0.00013749,0.00029098,0.00014475,0.0004255,0.00000191,0.00072015,4.3407,0.92716,0.18423,0.10554,0.054694,-0.12193,-0.2959,-0.17937,-0.065184,-0.05315,0.053911,-0.055631,-0.045267,0.014827,0.054907,0.028523,-0.089494,-0.13837,-0.065542,-0.068975,4.3407,0.92716,0.18423,0.10554,0.054694,-0.12193,-0.2959,-0.17937,-0.065184,-0.05315,0.053911,-0.055631,-0.045267,0.014827,0.054907,0.028523,-0.089494,-0.13837,-0.065542,-0.068975,0.085488,0.030345,0.014209,0.15778,0.00017629,0.022204,0.0000599,0.0013551,0.00000392,7.6944,14.654,47.504,0.016853,0.010476,0.0041361,0.0023492,0.016974,0.0000122,0.0093769,0.0000997,0.0022966,0.0000415,0.0010122,0.0000102
9,2.3038,1210.8,195920,-0.1444,-0.13721,-0.13826,-0.1328,-0.13002,-0.1303,-0.13043,-0.13116,-0.14115,-0.15924,-0.16808,-0.16832,-0.17006,-0.1742,-0.1782,-0.14973,-0.14688,-0.14348,-0.16796,-0.14596,-0.14738,-0.16828,-0.1647,-0.17313,-0.17103,-0.17237,-0.17903,-0.18661,-0.19109,-0.20631,-0.21258,-0.22484,-0.2416,-0.2735,-0.16766,0.00041563,0.00052047,0.00056682,0.00047106,0.00039209,0.00030786,0.00024465,0.00022698,0.00032939,0.00023524,0.0002271,0.00027066,0.00017753,0.00018889,0.00011543,0.00020148,0.00018501,0.00019292,0.0001417,0.00013066,0.00015942,0.00016831,0.00021518,0.000288,0.0002105,0.00011613,0.0000973,0.0000871,0.0000774,0.0000931,0.00013262,0.00014779,0.00010009,0.00010798,0.00022184,-1.1926,0.71934,2.0482,0.059584,0.19594,0.0062008,0.123,0.12002,0.082052,0.058684,0.048357,0.042931,0.072875,0.060208,0.056886,0.041649,0.10296,0.082003,0.074187,0.062636,0.11778,0.099475,0.082134,0.062661,0.12241,0.10687,0.081544,0.059208,0.081778,0.0018427,0.00000198,0.00079102,0.00074681,0.00043832,0.00046452,0.00019593,0.00011771,0.00032735,0.00028623,0.00015426,0.00012717,0.00037228,0.0001412,0.00011188,0.0000554,0.00015314,0.00017682,0.0000671,0.0000489,0.00014151,0.0000752,0.0000432,0.0000533,0.00028891,-0.87256,-0.54645,-0.31349,-0.011864,0.093719,0.013075,0.23935,0.24544,0.11466,-0.043467,0.013112,0.17927,0.036805,-0.046446,0.019307,-0.015812,-0.054296,-0.017727,-0.050016,-0.069089,-0.87256,-0.54645,-0.31349,-0.011864,0.093719,0.013075,0.23935,0.24544,0.11466,-0.043467,0.013112,0.17927,0.036805,-0.046446,0.019307,-0.015812,-0.054296,-0.017727,-0.050016,-0.069089,0.14135,0.02541,0.0036145,0.1462,0.000085,0.023875,0.0000167,0.0029823,0.0000017,5.2162,5.5024,0.40387,0.08761,0.092186,0.023887,0.0041088,0.086427,0.00014238,0.088158,0.00065074,0.020735,0.00021564,0.0030259,0.0000105
10,2.5633,1145.1,262750,-0.21183,-0.21308,-0.21346,-0.21016,-0.20947,-0.19685,-0.14521,-0.11804,-0.11911,-0.11905,-0.11047,-0.14904,-0.19755,-0.11363,-0.092393,-0.11349,-0.13545,-0.11606,-0.12401,-0.14783,-0.12314,-0.12048,-0.13208,-0.13033,-0.1328,-0.13142,-0.13688,-0.15341,-0.18425,-0.19203,-0.21165,-0.22844,-0.29523,-0.29257,-0.16238,0.00032591,0.00056054,0.0006655,0.00058835,0.000568,0.00032559,0.00019258,0.00020334,0.00015668,0.00043788,0.00042324,0.00026935,0.00017329,0.00062075,0.00084727,0.00098173,0.00080416,0.00012956,0.00022175,0.00064837,0.00048022,0.00049065,0.0004477,0.00039953,0.00028537,0.00070861,0.00050579,0.00086061,0.00028514,0.00032208,0.00035181,0.00044473,0.00030971,0.00031809,0.00045158,-0.38111,0.31056,1.0515,0.065543,0.15723,0.0022152,0.071448,0.045422,0.019408,0.021821,0.016572,0.019042,0.025734,0.031587,0.017384,0.013482,0.051549,0.039488,0.023009,0.02286,0.053336,0.022346,0.017892,0.011845,0.036673,0.050186,0.017259,0.082774,0.036273,0.0013267,0.00000152,0.0013631,0.00099646,0.00012958,0.00037497,0.00024428,0.00020273,0.00046203,0.00026278,0.00015655,0.00012221,0.0012549,0.00079184,0.00027724,0.00027134,0.0012604,0.00036739,0.00042225,0.00020911,0.00098845,0.00076934,0.00020198,7.21E-08,0.00051905,0.0080449,-0.1391,-0.12115,-0.45553,-0.38317,-0.36027,-0.0189,-0.28738,0.013837,0.08374,0.39045,-0.11826,0.013834,-0.031958,-0.035015,0.084562,-0.14589,0.017903,-0.05051,-0.15417,0.0080449,-0.1391,-0.12115,-0.45553,-0.38317,-0.36027,-0.0189,-0.28738,0.013837,0.08374,0.39045,-0.11826,0.013834,-0.031958,-0.035015,0.084562,-0.14589,0.017903,-0.05051,-0.15417,0.1642,0.020998,0.0021361,0.1705,0.00035963,0.020163,0.0000435,0.00073469,0.00000051,4.4819,4.4052,0.41462,0.059946,0.089488,0.025642,0.003356,0.063733,0.0003535,0.099722,0.0011098,0.028767,0.00044115,0.003951,0.0000318
